,date,title,summary
0,2018.02.10.,"펜스, 탈북자 만나 北 잔학성 고발","트럼프 대통령은 8일(현지시간) 국가조찬기도회에서 지씨를 언급하며 “이란과 쿠바, 베네수엘라, 북한 등에서 수백만명이 잔혹한 정권 아래 고통받고 있다”며 북한 인권 문제를 거듭 부각했다. , 평택=외교부..."
1,2018.02.11.,"한·미 갈등 심해질라, 고민 깊어진 문재인",김 위원장이 “빠른 시일 안에”라고 제안하는데도 문 대통령은 “여건”이란 말로 틈을 뒀다. 김 위원장의 제안에 속시원하게 “합시다”고 말할 수 없는 게 문 대통령이 지금 안고 있는 고민이다. 고민의 정체는...
2,2018.02.11.,“국제 핵확산방지 협상에 북한 불러내 동결·폐기 바람직”,이란이 핵을 보유하면 사우디아라비아와 터키도 하게 될 것이다. 여러 가지 맹점을 안고 있는 현행 NPT 체제로는 대응하기 어렵다. 무엇보다 북핵 문제는 발등의 불이다. 하지만 도널드 트럼프 행정부는 군사적 옵션만...
3,2018.02.11.,"이스라엘, 시리아에 36년만에 최대 공습","[한겨레] 시리아 내의 ‘이란 목표물’ 겨냥 이스라엘 전투기도 격추당해 시리아 내전, 이스라엘 대 이란의 대리전으로 이스라엘이 시리아에 1982년 이후 최대 규모의 공습을 벌였다. 이 과정에서 시리아 정부군의 대응으로..."
4,2018.02.11.,국내 기름값 잡히나,"한국석유공사 관계자는 ""미 원유 생산의 선행지표로 알려진 원유 시추기 수가 증가하면서 시장에 과잉 공급 우려가 대두되고 있다""며 ""더욱이 지난 8일 이란이 향후 3~4년 안에 자국의 하루 원유 생산능력을 현재보다..."
5,2018.02.11.,"대유그룹, 동부대우전자 품고 가전 강자 도약","국내외 많은 기업이 인수전에 뛰어들었고 중국과 이란 가전업체에게 인수 직전까지 갔으나 결국 대유그룹 품에 안겼다. ◇대유, 인수와 경영안정 위한 투자 확대 대유그룹은 동부대우전자 FI 중 한 곳인 한국증권금융이..."
6,2018.02.11.,"이스라엘까지 본격 가세, 해법없는 시리아 내전",이스라엘이 자국 전투기를 격추시킨 범인으로 시리아와 그 배후세력인 이란을 지목하고 대규모 공습에... 시리아·이란군 시설을 향해 미사일 수십 발을 발사했다. 이스라엘군 대변인도 “시리아 수도 다마스쿠스...
7,2018.02.11.,"[서경스타즈IR] 삼성중공업, 혹독한 터널 지나...올 82억弗 수주 청신호",지독한 수주 가뭄 속에서 ‘2016년 수주 0’ 이란 굴욕도 겪었다. 최악의 상황에서 매출 감소와 고정비... 것이란 기대감이 나오고 있다. ‘해양플랜트 테마주로서의 존재감을 재확인’‘트라우마에서 벗어나는 동력은...
8,2018.02.11.,급락장서 기관 '러브콜' 쏟아진 정유·화학주,것이란 전망에 힘이 실리고 있다. 화학·정유주는 최근 조정장에서 기관투자가들의 ‘타깃’이 되고 있다.... 전문가들은 “미국 및 이란의 원유 생산 확대와 달러 강세 등으로 유가가 배럴당 50달러대로 내려갈 것”...
9,2018.02.11.,IS 내쫓자 이란·이스라엘 대리戰… 갈길 먼 ‘시리아의 봄’,"이란·알아사드 정권 동맹 강화 전운 고조 / 이스라엘 “이란 군사위협 말라” / F-16 시리아 출격했다 격추당해 / 시리아 내 이란 軍시설 보복공습 / 네타냐후, 푸틴에게도 “반격” 공언 / 푸틴 “시리아 내 새 대치국면..."
10,2018.02.10.,"펜스, 탈북자 만나 北 잔학성 고발","트럼프 대통령은 8일(현지시간) 국가조찬기도회에서 지씨를 언급하며 “이란과 쿠바, 베네수엘라, 북한 등에서 수백만명이 잔혹한 정권 아래 고통받고 있다”며 북한 인권 문제를 거듭 부각했다. , 평택=외교부..."
11,2018.02.11.,"한·미 갈등 심해질라, 고민 깊어진 문재인",김 위원장이 “빠른 시일 안에”라고 제안하는데도 문 대통령은 “여건”이란 말로 틈을 뒀다. 김 위원장의 제안에 속시원하게 “합시다”고 말할 수 없는 게 문 대통령이 지금 안고 있는 고민이다. 고민의 정체는...
12,2018.02.11.,“국제 핵확산방지 협상에 북한 불러내 동결·폐기 바람직”,이란이 핵을 보유하면 사우디아라비아와 터키도 하게 될 것이다. 여러 가지 맹점을 안고 있는 현행 NPT 체제로는 대응하기 어렵다. 무엇보다 북핵 문제는 발등의 불이다. 하지만 도널드 트럼프 행정부는 군사적 옵션만...
13,2018.02.11.,"이스라엘, 시리아에 36년만에 최대 공습","[한겨레] 시리아 내의 ‘이란 목표물’ 겨냥 이스라엘 전투기도 격추당해 시리아 내전, 이스라엘 대 이란의 대리전으로 이스라엘이 시리아에 1982년 이후 최대 규모의 공습을 벌였다. 이 과정에서 시리아 정부군의 대응으로..."
14,2018.02.11.,국내 기름값 잡히나,"한국석유공사 관계자는 ""미 원유 생산의 선행지표로 알려진 원유 시추기 수가 증가하면서 시장에 과잉 공급 우려가 대두되고 있다""며 ""더욱이 지난 8일 이란이 향후 3~4년 안에 자국의 하루 원유 생산능력을 현재보다..."
15,2018.02.11.,"대유그룹, 동부대우전자 품고 가전 강자 도약","국내외 많은 기업이 인수전에 뛰어들었고 중국과 이란 가전업체에게 인수 직전까지 갔으나 결국 대유그룹 품에 안겼다. ◇대유, 인수와 경영안정 위한 투자 확대 대유그룹은 동부대우전자 FI 중 한 곳인 한국증권금융이..."
16,2018.02.11.,"이스라엘까지 본격 가세, 해법없는 시리아 내전",이스라엘이 자국 전투기를 격추시킨 범인으로 시리아와 그 배후세력인 이란을 지목하고 대규모 공습에... 시리아·이란군 시설을 향해 미사일 수십 발을 발사했다. 이스라엘군 대변인도 “시리아 수도 다마스쿠스...
17,2018.02.11.,"[서경스타즈IR] 삼성중공업, 혹독한 터널 지나...올 82억弗 수주 청신호",지독한 수주 가뭄 속에서 ‘2016년 수주 0’ 이란 굴욕도 겪었다. 최악의 상황에서 매출 감소와 고정비... 것이란 기대감이 나오고 있다. ‘해양플랜트 테마주로서의 존재감을 재확인’‘트라우마에서 벗어나는 동력은...
18,2018.02.11.,급락장서 기관 '러브콜' 쏟아진 정유·화학주,것이란 전망에 힘이 실리고 있다. 화학·정유주는 최근 조정장에서 기관투자가들의 ‘타깃’이 되고 있다.... 전문가들은 “미국 및 이란의 원유 생산 확대와 달러 강세 등으로 유가가 배럴당 50달러대로 내려갈 것”...
19,2018.02.11.,IS 내쫓자 이란·이스라엘 대리戰… 갈길 먼 ‘시리아의 봄’,"이란·알아사드 정권 동맹 강화 전운 고조 / 이스라엘 “이란 군사위협 말라” / F-16 시리아 출격했다 격추당해 / 시리아 내 이란 軍시설 보복공습 / 네타냐후, 푸틴에게도 “반격” 공언 / 푸틴 “시리아 내 새 대치국면..."
20,2018.02.10.,"펜스, 탈북자 만나 北 잔학성 고발","트럼프 대통령은 8일(현지시간) 국가조찬기도회에서 지씨를 언급하며 “이란과 쿠바, 베네수엘라, 북한 등에서 수백만명이 잔혹한 정권 아래 고통받고 있다”며 북한 인권 문제를 거듭 부각했다. , 평택=외교부..."
21,2018.02.11.,"한·미 갈등 심해질라, 고민 깊어진 문재인",김 위원장이 “빠른 시일 안에”라고 제안하는데도 문 대통령은 “여건”이란 말로 틈을 뒀다. 김 위원장의 제안에 속시원하게 “합시다”고 말할 수 없는 게 문 대통령이 지금 안고 있는 고민이다. 고민의 정체는...
22,2018.02.11.,“국제 핵확산방지 협상에 북한 불러내 동결·폐기 바람직”,이란이 핵을 보유하면 사우디아라비아와 터키도 하게 될 것이다. 여러 가지 맹점을 안고 있는 현행 NPT 체제로는 대응하기 어렵다. 무엇보다 북핵 문제는 발등의 불이다. 하지만 도널드 트럼프 행정부는 군사적 옵션만...
23,2018.02.11.,"이스라엘, 시리아에 36년만에 최대 공습","[한겨레] 시리아 내의 ‘이란 목표물’ 겨냥 이스라엘 전투기도 격추당해 시리아 내전, 이스라엘 대 이란의 대리전으로 이스라엘이 시리아에 1982년 이후 최대 규모의 공습을 벌였다. 이 과정에서 시리아 정부군의 대응으로..."
24,2018.02.11.,국내 기름값 잡히나,"한국석유공사 관계자는 ""미 원유 생산의 선행지표로 알려진 원유 시추기 수가 증가하면서 시장에 과잉 공급 우려가 대두되고 있다""며 ""더욱이 지난 8일 이란이 향후 3~4년 안에 자국의 하루 원유 생산능력을 현재보다..."
25,2018.02.11.,"대유그룹, 동부대우전자 품고 가전 강자 도약","국내외 많은 기업이 인수전에 뛰어들었고 중국과 이란 가전업체에게 인수 직전까지 갔으나 결국 대유그룹 품에 안겼다. ◇대유, 인수와 경영안정 위한 투자 확대 대유그룹은 동부대우전자 FI 중 한 곳인 한국증권금융이..."
26,2018.02.11.,"이스라엘까지 본격 가세, 해법없는 시리아 내전",이스라엘이 자국 전투기를 격추시킨 범인으로 시리아와 그 배후세력인 이란을 지목하고 대규모 공습에... 시리아·이란군 시설을 향해 미사일 수십 발을 발사했다. 이스라엘군 대변인도 “시리아 수도 다마스쿠스...
27,2018.02.11.,"[서경스타즈IR] 삼성중공업, 혹독한 터널 지나...올 82억弗 수주 청신호",지독한 수주 가뭄 속에서 ‘2016년 수주 0’ 이란 굴욕도 겪었다. 최악의 상황에서 매출 감소와 고정비... 것이란 기대감이 나오고 있다. ‘해양플랜트 테마주로서의 존재감을 재확인’‘트라우마에서 벗어나는 동력은...
28,2018.02.11.,급락장서 기관 '러브콜' 쏟아진 정유·화학주,것이란 전망에 힘이 실리고 있다. 화학·정유주는 최근 조정장에서 기관투자가들의 ‘타깃’이 되고 있다.... 전문가들은 “미국 및 이란의 원유 생산 확대와 달러 강세 등으로 유가가 배럴당 50달러대로 내려갈 것”...
29,2018.02.11.,IS 내쫓자 이란·이스라엘 대리戰… 갈길 먼 ‘시리아의 봄’,"이란·알아사드 정권 동맹 강화 전운 고조 / 이스라엘 “이란 군사위협 말라” / F-16 시리아 출격했다 격추당해 / 시리아 내 이란 軍시설 보복공습 / 네타냐후, 푸틴에게도 “반격” 공언 / 푸틴 “시리아 내 새 대치국면..."
30,2018.02.10.,"펜스, 탈북자 만나 北 잔학성 고발","트럼프 대통령은 8일(현지시간) 국가조찬기도회에서 지씨를 언급하며 “이란과 쿠바, 베네수엘라, 북한 등에서 수백만명이 잔혹한 정권 아래 고통받고 있다”며 북한 인권 문제를 거듭 부각했다. , 평택=외교부..."
31,2018.02.11.,"한·미 갈등 심해질라, 고민 깊어진 문재인",김 위원장이 “빠른 시일 안에”라고 제안하는데도 문 대통령은 “여건”이란 말로 틈을 뒀다. 김 위원장의 제안에 속시원하게 “합시다”고 말할 수 없는 게 문 대통령이 지금 안고 있는 고민이다. 고민의 정체는...
32,2018.02.11.,“국제 핵확산방지 협상에 북한 불러내 동결·폐기 바람직”,이란이 핵을 보유하면 사우디아라비아와 터키도 하게 될 것이다. 여러 가지 맹점을 안고 있는 현행 NPT 체제로는 대응하기 어렵다. 무엇보다 북핵 문제는 발등의 불이다. 하지만 도널드 트럼프 행정부는 군사적 옵션만...
33,2018.02.11.,"이스라엘, 시리아에 36년만에 최대 공습","[한겨레] 시리아 내의 ‘이란 목표물’ 겨냥 이스라엘 전투기도 격추당해 시리아 내전, 이스라엘 대 이란의 대리전으로 이스라엘이 시리아에 1982년 이후 최대 규모의 공습을 벌였다. 이 과정에서 시리아 정부군의 대응으로..."
34,2018.02.11.,국내 기름값 잡히나,"한국석유공사 관계자는 ""미 원유 생산의 선행지표로 알려진 원유 시추기 수가 증가하면서 시장에 과잉 공급 우려가 대두되고 있다""며 ""더욱이 지난 8일 이란이 향후 3~4년 안에 자국의 하루 원유 생산능력을 현재보다..."
35,2018.02.11.,"대유그룹, 동부대우전자 품고 가전 강자 도약","국내외 많은 기업이 인수전에 뛰어들었고 중국과 이란 가전업체에게 인수 직전까지 갔으나 결국 대유그룹 품에 안겼다. ◇대유, 인수와 경영안정 위한 투자 확대 대유그룹은 동부대우전자 FI 중 한 곳인 한국증권금융이..."
36,2018.02.11.,"이스라엘까지 본격 가세, 해법없는 시리아 내전",이스라엘이 자국 전투기를 격추시킨 범인으로 시리아와 그 배후세력인 이란을 지목하고 대규모 공습에... 시리아·이란군 시설을 향해 미사일 수십 발을 발사했다. 이스라엘군 대변인도 “시리아 수도 다마스쿠스...
37,2018.02.11.,"[서경스타즈IR] 삼성중공업, 혹독한 터널 지나...올 82억弗 수주 청신호",지독한 수주 가뭄 속에서 ‘2016년 수주 0’ 이란 굴욕도 겪었다. 최악의 상황에서 매출 감소와 고정비... 것이란 기대감이 나오고 있다. ‘해양플랜트 테마주로서의 존재감을 재확인’‘트라우마에서 벗어나는 동력은...
38,2018.02.11.,급락장서 기관 '러브콜' 쏟아진 정유·화학주,것이란 전망에 힘이 실리고 있다. 화학·정유주는 최근 조정장에서 기관투자가들의 ‘타깃’이 되고 있다.... 전문가들은 “미국 및 이란의 원유 생산 확대와 달러 강세 등으로 유가가 배럴당 50달러대로 내려갈 것”...
39,2018.02.11.,IS 내쫓자 이란·이스라엘 대리戰… 갈길 먼 ‘시리아의 봄’,"이란·알아사드 정권 동맹 강화 전운 고조 / 이스라엘 “이란 군사위협 말라” / F-16 시리아 출격했다 격추당해 / 시리아 내 이란 軍시설 보복공습 / 네타냐후, 푸틴에게도 “반격” 공언 / 푸틴 “시리아 내 새 대치국면..."
40,2018.02.10.,"펜스, 탈북자 만나 北 잔학성 고발","트럼프 대통령은 8일(현지시간) 국가조찬기도회에서 지씨를 언급하며 “이란과 쿠바, 베네수엘라, 북한 등에서 수백만명이 잔혹한 정권 아래 고통받고 있다”며 북한 인권 문제를 거듭 부각했다. , 평택=외교부..."
41,2018.02.11.,"한·미 갈등 심해질라, 고민 깊어진 문재인",김 위원장이 “빠른 시일 안에”라고 제안하는데도 문 대통령은 “여건”이란 말로 틈을 뒀다. 김 위원장의 제안에 속시원하게 “합시다”고 말할 수 없는 게 문 대통령이 지금 안고 있는 고민이다. 고민의 정체는...
42,2018.02.11.,“국제 핵확산방지 협상에 북한 불러내 동결·폐기 바람직”,이란이 핵을 보유하면 사우디아라비아와 터키도 하게 될 것이다. 여러 가지 맹점을 안고 있는 현행 NPT 체제로는 대응하기 어렵다. 무엇보다 북핵 문제는 발등의 불이다. 하지만 도널드 트럼프 행정부는 군사적 옵션만...
43,2018.02.11.,"이스라엘, 시리아에 36년만에 최대 공습","[한겨레] 시리아 내의 ‘이란 목표물’ 겨냥 이스라엘 전투기도 격추당해 시리아 내전, 이스라엘 대 이란의 대리전으로 이스라엘이 시리아에 1982년 이후 최대 규모의 공습을 벌였다. 이 과정에서 시리아 정부군의 대응으로..."
44,2018.02.11.,국내 기름값 잡히나,"한국석유공사 관계자는 ""미 원유 생산의 선행지표로 알려진 원유 시추기 수가 증가하면서 시장에 과잉 공급 우려가 대두되고 있다""며 ""더욱이 지난 8일 이란이 향후 3~4년 안에 자국의 하루 원유 생산능력을 현재보다..."
45,2018.02.11.,"대유그룹, 동부대우전자 품고 가전 강자 도약","국내외 많은 기업이 인수전에 뛰어들었고 중국과 이란 가전업체에게 인수 직전까지 갔으나 결국 대유그룹 품에 안겼다. ◇대유, 인수와 경영안정 위한 투자 확대 대유그룹은 동부대우전자 FI 중 한 곳인 한국증권금융이..."
46,2018.02.11.,"이스라엘까지 본격 가세, 해법없는 시리아 내전",이스라엘이 자국 전투기를 격추시킨 범인으로 시리아와 그 배후세력인 이란을 지목하고 대규모 공습에... 시리아·이란군 시설을 향해 미사일 수십 발을 발사했다. 이스라엘군 대변인도 “시리아 수도 다마스쿠스...
47,2018.02.11.,"[서경스타즈IR] 삼성중공업, 혹독한 터널 지나...올 82억弗 수주 청신호",지독한 수주 가뭄 속에서 ‘2016년 수주 0’ 이란 굴욕도 겪었다. 최악의 상황에서 매출 감소와 고정비... 것이란 기대감이 나오고 있다. ‘해양플랜트 테마주로서의 존재감을 재확인’‘트라우마에서 벗어나는 동력은...
48,2018.02.11.,급락장서 기관 '러브콜' 쏟아진 정유·화학주,것이란 전망에 힘이 실리고 있다. 화학·정유주는 최근 조정장에서 기관투자가들의 ‘타깃’이 되고 있다.... 전문가들은 “미국 및 이란의 원유 생산 확대와 달러 강세 등으로 유가가 배럴당 50달러대로 내려갈 것”...
49,2018.02.11.,IS 내쫓자 이란·이스라엘 대리戰… 갈길 먼 ‘시리아의 봄’,"이란·알아사드 정권 동맹 강화 전운 고조 / 이스라엘 “이란 군사위협 말라” / F-16 시리아 출격했다 격추당해 / 시리아 내 이란 軍시설 보복공습 / 네타냐후, 푸틴에게도 “반격” 공언 / 푸틴 “시리아 내 새 대치국면..."
50,2018.02.10.,"펜스, 탈북자 만나 北 잔학성 고발","트럼프 대통령은 8일(현지시간) 국가조찬기도회에서 지씨를 언급하며 “이란과 쿠바, 베네수엘라, 북한 등에서 수백만명이 잔혹한 정권 아래 고통받고 있다”며 북한 인권 문제를 거듭 부각했다. , 평택=외교부..."
51,2018.02.11.,"한·미 갈등 심해질라, 고민 깊어진 문재인",김 위원장이 “빠른 시일 안에”라고 제안하는데도 문 대통령은 “여건”이란 말로 틈을 뒀다. 김 위원장의 제안에 속시원하게 “합시다”고 말할 수 없는 게 문 대통령이 지금 안고 있는 고민이다. 고민의 정체는...
52,2018.02.11.,“국제 핵확산방지 협상에 북한 불러내 동결·폐기 바람직”,이란이 핵을 보유하면 사우디아라비아와 터키도 하게 될 것이다. 여러 가지 맹점을 안고 있는 현행 NPT 체제로는 대응하기 어렵다. 무엇보다 북핵 문제는 발등의 불이다. 하지만 도널드 트럼프 행정부는 군사적 옵션만...
53,2018.02.11.,"이스라엘, 시리아에 36년만에 최대 공습","[한겨레] 시리아 내의 ‘이란 목표물’ 겨냥 이스라엘 전투기도 격추당해 시리아 내전, 이스라엘 대 이란의 대리전으로 이스라엘이 시리아에 1982년 이후 최대 규모의 공습을 벌였다. 이 과정에서 시리아 정부군의 대응으로..."
54,2018.02.11.,국내 기름값 잡히나,"한국석유공사 관계자는 ""미 원유 생산의 선행지표로 알려진 원유 시추기 수가 증가하면서 시장에 과잉 공급 우려가 대두되고 있다""며 ""더욱이 지난 8일 이란이 향후 3~4년 안에 자국의 하루 원유 생산능력을 현재보다..."
55,2018.02.11.,"대유그룹, 동부대우전자 품고 가전 강자 도약","국내외 많은 기업이 인수전에 뛰어들었고 중국과 이란 가전업체에게 인수 직전까지 갔으나 결국 대유그룹 품에 안겼다. ◇대유, 인수와 경영안정 위한 투자 확대 대유그룹은 동부대우전자 FI 중 한 곳인 한국증권금융이..."
56,2018.02.11.,"이스라엘까지 본격 가세, 해법없는 시리아 내전",이스라엘이 자국 전투기를 격추시킨 범인으로 시리아와 그 배후세력인 이란을 지목하고 대규모 공습에... 시리아·이란군 시설을 향해 미사일 수십 발을 발사했다. 이스라엘군 대변인도 “시리아 수도 다마스쿠스...
57,2018.02.11.,"[서경스타즈IR] 삼성중공업, 혹독한 터널 지나...올 82억弗 수주 청신호",지독한 수주 가뭄 속에서 ‘2016년 수주 0’ 이란 굴욕도 겪었다. 최악의 상황에서 매출 감소와 고정비... 것이란 기대감이 나오고 있다. ‘해양플랜트 테마주로서의 존재감을 재확인’‘트라우마에서 벗어나는 동력은...
58,2018.02.11.,급락장서 기관 '러브콜' 쏟아진 정유·화학주,것이란 전망에 힘이 실리고 있다. 화학·정유주는 최근 조정장에서 기관투자가들의 ‘타깃’이 되고 있다.... 전문가들은 “미국 및 이란의 원유 생산 확대와 달러 강세 등으로 유가가 배럴당 50달러대로 내려갈 것”...
59,2018.02.11.,IS 내쫓자 이란·이스라엘 대리戰… 갈길 먼 ‘시리아의 봄’,"이란·알아사드 정권 동맹 강화 전운 고조 / 이스라엘 “이란 군사위협 말라” / F-16 시리아 출격했다 격추당해 / 시리아 내 이란 軍시설 보복공습 / 네타냐후, 푸틴에게도 “반격” 공언 / 푸틴 “시리아 내 새 대치국면..."
60,2018.02.10.,"펜스, 탈북자 만나 北 잔학성 고발","트럼프 대통령은 8일(현지시간) 국가조찬기도회에서 지씨를 언급하며 “이란과 쿠바, 베네수엘라, 북한 등에서 수백만명이 잔혹한 정권 아래 고통받고 있다”며 북한 인권 문제를 거듭 부각했다. , 평택=외교부..."
61,2018.02.11.,"한·미 갈등 심해질라, 고민 깊어진 문재인",김 위원장이 “빠른 시일 안에”라고 제안하는데도 문 대통령은 “여건”이란 말로 틈을 뒀다. 김 위원장의 제안에 속시원하게 “합시다”고 말할 수 없는 게 문 대통령이 지금 안고 있는 고민이다. 고민의 정체는...
62,2018.02.11.,“국제 핵확산방지 협상에 북한 불러내 동결·폐기 바람직”,이란이 핵을 보유하면 사우디아라비아와 터키도 하게 될 것이다. 여러 가지 맹점을 안고 있는 현행 NPT 체제로는 대응하기 어렵다. 무엇보다 북핵 문제는 발등의 불이다. 하지만 도널드 트럼프 행정부는 군사적 옵션만...
63,2018.02.11.,"이스라엘, 시리아에 36년만에 최대 공습","[한겨레] 시리아 내의 ‘이란 목표물’ 겨냥 이스라엘 전투기도 격추당해 시리아 내전, 이스라엘 대 이란의 대리전으로 이스라엘이 시리아에 1982년 이후 최대 규모의 공습을 벌였다. 이 과정에서 시리아 정부군의 대응으로..."
64,2018.02.11.,국내 기름값 잡히나,"한국석유공사 관계자는 ""미 원유 생산의 선행지표로 알려진 원유 시추기 수가 증가하면서 시장에 과잉 공급 우려가 대두되고 있다""며 ""더욱이 지난 8일 이란이 향후 3~4년 안에 자국의 하루 원유 생산능력을 현재보다..."
65,2018.02.11.,"대유그룹, 동부대우전자 품고 가전 강자 도약","국내외 많은 기업이 인수전에 뛰어들었고 중국과 이란 가전업체에게 인수 직전까지 갔으나 결국 대유그룹 품에 안겼다. ◇대유, 인수와 경영안정 위한 투자 확대 대유그룹은 동부대우전자 FI 중 한 곳인 한국증권금융이..."
66,2018.02.11.,"이스라엘까지 본격 가세, 해법없는 시리아 내전",이스라엘이 자국 전투기를 격추시킨 범인으로 시리아와 그 배후세력인 이란을 지목하고 대규모 공습에... 시리아·이란군 시설을 향해 미사일 수십 발을 발사했다. 이스라엘군 대변인도 “시리아 수도 다마스쿠스...
67,2018.02.11.,"[서경스타즈IR] 삼성중공업, 혹독한 터널 지나...올 82억弗 수주 청신호",지독한 수주 가뭄 속에서 ‘2016년 수주 0’ 이란 굴욕도 겪었다. 최악의 상황에서 매출 감소와 고정비... 것이란 기대감이 나오고 있다. ‘해양플랜트 테마주로서의 존재감을 재확인’‘트라우마에서 벗어나는 동력은...
68,2018.02.11.,급락장서 기관 '러브콜' 쏟아진 정유·화학주,것이란 전망에 힘이 실리고 있다. 화학·정유주는 최근 조정장에서 기관투자가들의 ‘타깃’이 되고 있다.... 전문가들은 “미국 및 이란의 원유 생산 확대와 달러 강세 등으로 유가가 배럴당 50달러대로 내려갈 것”...
69,2018.02.11.,IS 내쫓자 이란·이스라엘 대리戰… 갈길 먼 ‘시리아의 봄’,"이란·알아사드 정권 동맹 강화 전운 고조 / 이스라엘 “이란 군사위협 말라” / F-16 시리아 출격했다 격추당해 / 시리아 내 이란 軍시설 보복공습 / 네타냐후, 푸틴에게도 “반격” 공언 / 푸틴 “시리아 내 새 대치국면..."
70,2018.02.10.,"펜스, 탈북자 만나 北 잔학성 고발","트럼프 대통령은 8일(현지시간) 국가조찬기도회에서 지씨를 언급하며 “이란과 쿠바, 베네수엘라, 북한 등에서 수백만명이 잔혹한 정권 아래 고통받고 있다”며 북한 인권 문제를 거듭 부각했다. , 평택=외교부..."
71,2018.02.11.,"한·미 갈등 심해질라, 고민 깊어진 문재인",김 위원장이 “빠른 시일 안에”라고 제안하는데도 문 대통령은 “여건”이란 말로 틈을 뒀다. 김 위원장의 제안에 속시원하게 “합시다”고 말할 수 없는 게 문 대통령이 지금 안고 있는 고민이다. 고민의 정체는...
72,2018.02.11.,“국제 핵확산방지 협상에 북한 불러내 동결·폐기 바람직”,이란이 핵을 보유하면 사우디아라비아와 터키도 하게 될 것이다. 여러 가지 맹점을 안고 있는 현행 NPT 체제로는 대응하기 어렵다. 무엇보다 북핵 문제는 발등의 불이다. 하지만 도널드 트럼프 행정부는 군사적 옵션만...
73,2018.02.11.,"이스라엘, 시리아에 36년만에 최대 공습","[한겨레] 시리아 내의 ‘이란 목표물’ 겨냥 이스라엘 전투기도 격추당해 시리아 내전, 이스라엘 대 이란의 대리전으로 이스라엘이 시리아에 1982년 이후 최대 규모의 공습을 벌였다. 이 과정에서 시리아 정부군의 대응으로..."
74,2018.02.11.,국내 기름값 잡히나,"한국석유공사 관계자는 ""미 원유 생산의 선행지표로 알려진 원유 시추기 수가 증가하면서 시장에 과잉 공급 우려가 대두되고 있다""며 ""더욱이 지난 8일 이란이 향후 3~4년 안에 자국의 하루 원유 생산능력을 현재보다..."
75,2018.02.11.,"대유그룹, 동부대우전자 품고 가전 강자 도약","국내외 많은 기업이 인수전에 뛰어들었고 중국과 이란 가전업체에게 인수 직전까지 갔으나 결국 대유그룹 품에 안겼다. ◇대유, 인수와 경영안정 위한 투자 확대 대유그룹은 동부대우전자 FI 중 한 곳인 한국증권금융이..."
76,2018.02.11.,"이스라엘까지 본격 가세, 해법없는 시리아 내전",이스라엘이 자국 전투기를 격추시킨 범인으로 시리아와 그 배후세력인 이란을 지목하고 대규모 공습에... 시리아·이란군 시설을 향해 미사일 수십 발을 발사했다. 이스라엘군 대변인도 “시리아 수도 다마스쿠스...
77,2018.02.11.,"[서경스타즈IR] 삼성중공업, 혹독한 터널 지나...올 82억弗 수주 청신호",지독한 수주 가뭄 속에서 ‘2016년 수주 0’ 이란 굴욕도 겪었다. 최악의 상황에서 매출 감소와 고정비... 것이란 기대감이 나오고 있다. ‘해양플랜트 테마주로서의 존재감을 재확인’‘트라우마에서 벗어나는 동력은...
78,2018.02.11.,급락장서 기관 '러브콜' 쏟아진 정유·화학주,것이란 전망에 힘이 실리고 있다. 화학·정유주는 최근 조정장에서 기관투자가들의 ‘타깃’이 되고 있다.... 전문가들은 “미국 및 이란의 원유 생산 확대와 달러 강세 등으로 유가가 배럴당 50달러대로 내려갈 것”...
79,2018.02.11.,IS 내쫓자 이란·이스라엘 대리戰… 갈길 먼 ‘시리아의 봄’,"이란·알아사드 정권 동맹 강화 전운 고조 / 이스라엘 “이란 군사위협 말라” / F-16 시리아 출격했다 격추당해 / 시리아 내 이란 軍시설 보복공습 / 네타냐후, 푸틴에게도 “반격” 공언 / 푸틴 “시리아 내 새 대치국면..."
80,2018.02.10.,"펜스, 탈북자 만나 北 잔학성 고발","트럼프 대통령은 8일(현지시간) 국가조찬기도회에서 지씨를 언급하며 “이란과 쿠바, 베네수엘라, 북한 등에서 수백만명이 잔혹한 정권 아래 고통받고 있다”며 북한 인권 문제를 거듭 부각했다. , 평택=외교부..."
81,2018.02.11.,"한·미 갈등 심해질라, 고민 깊어진 문재인",김 위원장이 “빠른 시일 안에”라고 제안하는데도 문 대통령은 “여건”이란 말로 틈을 뒀다. 김 위원장의 제안에 속시원하게 “합시다”고 말할 수 없는 게 문 대통령이 지금 안고 있는 고민이다. 고민의 정체는...
82,2018.02.11.,“국제 핵확산방지 협상에 북한 불러내 동결·폐기 바람직”,이란이 핵을 보유하면 사우디아라비아와 터키도 하게 될 것이다. 여러 가지 맹점을 안고 있는 현행 NPT 체제로는 대응하기 어렵다. 무엇보다 북핵 문제는 발등의 불이다. 하지만 도널드 트럼프 행정부는 군사적 옵션만...
83,2018.02.11.,"이스라엘, 시리아에 36년만에 최대 공습","[한겨레] 시리아 내의 ‘이란 목표물’ 겨냥 이스라엘 전투기도 격추당해 시리아 내전, 이스라엘 대 이란의 대리전으로 이스라엘이 시리아에 1982년 이후 최대 규모의 공습을 벌였다. 이 과정에서 시리아 정부군의 대응으로..."
84,2018.02.11.,국내 기름값 잡히나,"한국석유공사 관계자는 ""미 원유 생산의 선행지표로 알려진 원유 시추기 수가 증가하면서 시장에 과잉 공급 우려가 대두되고 있다""며 ""더욱이 지난 8일 이란이 향후 3~4년 안에 자국의 하루 원유 생산능력을 현재보다..."
