,date,title,summary
566,2021.10.10.,증시·환율·채권 '트리플 약세' 계속되나,"공급망 문제에 따른 인플레이션, 미국 연방준비제도(Fed·연준)의 테이퍼링(자산매입 축소), 중국 부동산... 국내 증시가 유독 더 하락한 원인으로는 중국과의 경제 연관성이 높아 미중 갈등·헝다그룹 등의 불안 요인에..."
567,2021.10.10.,"한국은 빼놓고…기시다, 각국 정상과 통화","미국·오스트레일리아·인도 등 ‘기본적 가치’를 공유하는 우호국, 중국·러시아 등 긴장 속에서 관계를... 이어 ‘중국의 부상’을 견제하기 위해 최근 중요성이 커진 쿼드 회원국 오스트레일리아가 두번째 통화 상대가..."
568,2021.10.10.,시진핑 “반드시 대만 통일”…차이잉원 “전력 다해 현상유지”,"중국과 대만의 군사적 긴장이 높아지는 가운데, 신해혁명(1911년 10월10일) 110주년을 맞아 양국 지도자들이 정면충돌했다. 시진핑 중국 국가주석이 “조국(대만) 통일을 반드시 실현하겠다”고 하자, 차이잉원 대만 총통은..."
569,2021.10.10.,"""폴리실리콘 가격 강세 지속""…증권사, OCI 목표주가 상향",중국이 호주 석탄 수입을 일부 허용했다는 보도가 나오면서 중국의 폴리실리콘 생산이 정상화되는 것 아니냐는 우려가 제기됐기 때문이다. 하지만 증권가에서는 폴리실리콘 가격 강세가 계속될 것으로 보고 있다....
570,2021.10.10.,쓱 쳐다만 봐도 몰카 '찰칵'…'스마트 글라스' 9년 전엔 왜 실패했나,중국의 샤오미도 지난달 유튜브를 통해 자사가 개발 중인 스마트 글라스 콘셉트 제품을 공개했다. 일반 안경과 유사한 이 제품은 무게가 51g에 불과하다. 눈앞에서 실시간으로 스마트폰의 알림을 표시하고 전화를 걸 수...
571,2021.10.10.,"""조국통일"" 위협 中, '비밀 합동훈련' 美…위기의 대만","대만을 둘러싸고 미국과 중국 간의 신경전이 날로 격화하고 있다. 미국이 지난 1년간 대만에서 비밀 합동훈련을 해왔다는 내용이 밝혀진 가운데 시진핑 중국 국가주석은 ""조국 통일""을 대놓고 천명하면서 위기감이..."
572,2021.10.10.,"국내 인공관절 코렌텍, 中시장 본격 진출",中 중앙입찰 모든 제품군 낙찰 국내 인공관절 제조 기업 코렌텍이 중국 시장에 본격 진출하는 발판을 마련했다고 10일 밝혔다. 코렌텍이 최근 중국 국가기관 주최로 진행된 중앙입찰에서 세계적 회사인 스트라이커...
573,2021.10.10.,'RE100'과 자원 선순환으로 미래 그려가는 LG화학 [ESG클린리더스],지난해 12월에는 국내 기업 최초로 중국 내 '전력직접구매(PPA)'로 연간 140GWh의 재생에너지도 확보했다. 중국 장쑤성(江蘇省) 우시(無錫)의 양극재공장은 올해부터 재생에너지로만 공장을 돌려 일반 산업용 전력 대비...
574,2021.10.10.,유동규 ‘배임죄 성립’ 핵심 쟁점은 2015년 당시 대장동 사업성 평가,2014년 대법원은 중국업체와 생수 수출계약을 체결하는 과정에서 중국업체에 유리한 수출계약서를 작성해줘 회사에 5억8천여만원의 손해를 끼친 혐의 등으로 기소된 전 제주개발공사 사장 사건에서 배임 혐의에 한해 무죄...
575,2021.10.10.,[유레카] 기후위기 시대의 노벨상 / 손원제,"올해도 미국 텍사스 이상한파와 유럽 폭염, 중국 폭우 등이 지구를 덮쳤다. 기후변화에 관한 정부 간 협의체(IPCC·아이피시시)는 8월9일 기후위기의 티핑포인트인 지구 평균 기온 1.5도 상승 시한을 애초 2052년께에서..."
576,2021.10.10.,증시·환율·채권 '트리플 약세' 계속되나,"공급망 문제에 따른 인플레이션, 미국 연방준비제도(Fed·연준)의 테이퍼링(자산매입 축소), 중국 부동산... 국내 증시가 유독 더 하락한 원인으로는 중국과의 경제 연관성이 높아 미중 갈등·헝다그룹 등의 불안 요인에..."
577,2021.10.10.,"한국은 빼놓고…기시다, 각국 정상과 통화","미국·오스트레일리아·인도 등 ‘기본적 가치’를 공유하는 우호국, 중국·러시아 등 긴장 속에서 관계를... 이어 ‘중국의 부상’을 견제하기 위해 최근 중요성이 커진 쿼드 회원국 오스트레일리아가 두번째 통화 상대가..."
578,2021.10.10.,시진핑 “반드시 대만 통일”…차이잉원 “전력 다해 현상유지”,"중국과 대만의 군사적 긴장이 높아지는 가운데, 신해혁명(1911년 10월10일) 110주년을 맞아 양국 지도자들이 정면충돌했다. 시진핑 중국 국가주석이 “조국(대만) 통일을 반드시 실현하겠다”고 하자, 차이잉원 대만 총통은..."
579,2021.10.10.,"""폴리실리콘 가격 강세 지속""…증권사, OCI 목표주가 상향",중국이 호주 석탄 수입을 일부 허용했다는 보도가 나오면서 중국의 폴리실리콘 생산이 정상화되는 것 아니냐는 우려가 제기됐기 때문이다. 하지만 증권가에서는 폴리실리콘 가격 강세가 계속될 것으로 보고 있다....
580,2021.10.10.,쓱 쳐다만 봐도 몰카 '찰칵'…'스마트 글라스' 9년 전엔 왜 실패했나,중국의 샤오미도 지난달 유튜브를 통해 자사가 개발 중인 스마트 글라스 콘셉트 제품을 공개했다. 일반 안경과 유사한 이 제품은 무게가 51g에 불과하다. 눈앞에서 실시간으로 스마트폰의 알림을 표시하고 전화를 걸 수...
581,2021.10.10.,"""조국통일"" 위협 中, '비밀 합동훈련' 美…위기의 대만","대만을 둘러싸고 미국과 중국 간의 신경전이 날로 격화하고 있다. 미국이 지난 1년간 대만에서 비밀 합동훈련을 해왔다는 내용이 밝혀진 가운데 시진핑 중국 국가주석은 ""조국 통일""을 대놓고 천명하면서 위기감이..."
582,2021.10.10.,"국내 인공관절 코렌텍, 中시장 본격 진출",中 중앙입찰 모든 제품군 낙찰 국내 인공관절 제조 기업 코렌텍이 중국 시장에 본격 진출하는 발판을 마련했다고 10일 밝혔다. 코렌텍이 최근 중국 국가기관 주최로 진행된 중앙입찰에서 세계적 회사인 스트라이커...
583,2021.10.10.,유동규 ‘배임죄 성립’ 핵심 쟁점은 2015년 당시 대장동 사업성 평가,2014년 대법원은 중국업체와 생수 수출계약을 체결하는 과정에서 중국업체에 유리한 수출계약서를 작성해줘 회사에 5억8천여만원의 손해를 끼친 혐의 등으로 기소된 전 제주개발공사 사장 사건에서 배임 혐의에 한해 무죄...
584,2021.10.10.,'RE100'과 자원 선순환으로 미래 그려가는 LG화학 [ESG클린리더스],지난해 12월에는 국내 기업 최초로 중국 내 '전력직접구매(PPA)'로 연간 140GWh의 재생에너지도 확보했다. 중국 장쑤성(江蘇省) 우시(無錫)의 양극재공장은 올해부터 재생에너지로만 공장을 돌려 일반 산업용 전력 대비...
585,2021.10.10.,[유레카] 기후위기 시대의 노벨상 / 손원제,"올해도 미국 텍사스 이상한파와 유럽 폭염, 중국 폭우 등이 지구를 덮쳤다. 기후변화에 관한 정부 간 협의체(IPCC·아이피시시)는 8월9일 기후위기의 티핑포인트인 지구 평균 기온 1.5도 상승 시한을 애초 2052년께에서..."
586,2021.10.10.,증시·환율·채권 '트리플 약세' 계속되나,"공급망 문제에 따른 인플레이션, 미국 연방준비제도(Fed·연준)의 테이퍼링(자산매입 축소), 중국 부동산... 국내 증시가 유독 더 하락한 원인으로는 중국과의 경제 연관성이 높아 미중 갈등·헝다그룹 등의 불안 요인에..."
587,2021.10.10.,"한국은 빼놓고…기시다, 각국 정상과 통화","미국·오스트레일리아·인도 등 ‘기본적 가치’를 공유하는 우호국, 중국·러시아 등 긴장 속에서 관계를... 이어 ‘중국의 부상’을 견제하기 위해 최근 중요성이 커진 쿼드 회원국 오스트레일리아가 두번째 통화 상대가..."
588,2021.10.10.,시진핑 “반드시 대만 통일”…차이잉원 “전력 다해 현상유지”,"중국과 대만의 군사적 긴장이 높아지는 가운데, 신해혁명(1911년 10월10일) 110주년을 맞아 양국 지도자들이 정면충돌했다. 시진핑 중국 국가주석이 “조국(대만) 통일을 반드시 실현하겠다”고 하자, 차이잉원 대만 총통은..."
589,2021.10.10.,"""폴리실리콘 가격 강세 지속""…증권사, OCI 목표주가 상향",중국이 호주 석탄 수입을 일부 허용했다는 보도가 나오면서 중국의 폴리실리콘 생산이 정상화되는 것 아니냐는 우려가 제기됐기 때문이다. 하지만 증권가에서는 폴리실리콘 가격 강세가 계속될 것으로 보고 있다....
590,2021.10.10.,쓱 쳐다만 봐도 몰카 '찰칵'…'스마트 글라스' 9년 전엔 왜 실패했나,중국의 샤오미도 지난달 유튜브를 통해 자사가 개발 중인 스마트 글라스 콘셉트 제품을 공개했다. 일반 안경과 유사한 이 제품은 무게가 51g에 불과하다. 눈앞에서 실시간으로 스마트폰의 알림을 표시하고 전화를 걸 수...
591,2021.10.10.,"""조국통일"" 위협 中, '비밀 합동훈련' 美…위기의 대만","대만을 둘러싸고 미국과 중국 간의 신경전이 날로 격화하고 있다. 미국이 지난 1년간 대만에서 비밀 합동훈련을 해왔다는 내용이 밝혀진 가운데 시진핑 중국 국가주석은 ""조국 통일""을 대놓고 천명하면서 위기감이..."
592,2021.10.10.,"국내 인공관절 코렌텍, 中시장 본격 진출",中 중앙입찰 모든 제품군 낙찰 국내 인공관절 제조 기업 코렌텍이 중국 시장에 본격 진출하는 발판을 마련했다고 10일 밝혔다. 코렌텍이 최근 중국 국가기관 주최로 진행된 중앙입찰에서 세계적 회사인 스트라이커...
593,2021.10.10.,유동규 ‘배임죄 성립’ 핵심 쟁점은 2015년 당시 대장동 사업성 평가,2014년 대법원은 중국업체와 생수 수출계약을 체결하는 과정에서 중국업체에 유리한 수출계약서를 작성해줘 회사에 5억8천여만원의 손해를 끼친 혐의 등으로 기소된 전 제주개발공사 사장 사건에서 배임 혐의에 한해 무죄...
594,2021.10.10.,'RE100'과 자원 선순환으로 미래 그려가는 LG화학 [ESG클린리더스],지난해 12월에는 국내 기업 최초로 중국 내 '전력직접구매(PPA)'로 연간 140GWh의 재생에너지도 확보했다. 중국 장쑤성(江蘇省) 우시(無錫)의 양극재공장은 올해부터 재생에너지로만 공장을 돌려 일반 산업용 전력 대비...
595,2021.10.10.,[유레카] 기후위기 시대의 노벨상 / 손원제,"올해도 미국 텍사스 이상한파와 유럽 폭염, 중국 폭우 등이 지구를 덮쳤다. 기후변화에 관한 정부 간 협의체(IPCC·아이피시시)는 8월9일 기후위기의 티핑포인트인 지구 평균 기온 1.5도 상승 시한을 애초 2052년께에서..."
596,2021.10.10.,증시·환율·채권 '트리플 약세' 계속되나,"공급망 문제에 따른 인플레이션, 미국 연방준비제도(Fed·연준)의 테이퍼링(자산매입 축소), 중국 부동산... 국내 증시가 유독 더 하락한 원인으로는 중국과의 경제 연관성이 높아 미중 갈등·헝다그룹 등의 불안 요인에..."
597,2021.10.10.,"한국은 빼놓고…기시다, 각국 정상과 통화","미국·오스트레일리아·인도 등 ‘기본적 가치’를 공유하는 우호국, 중국·러시아 등 긴장 속에서 관계를... 이어 ‘중국의 부상’을 견제하기 위해 최근 중요성이 커진 쿼드 회원국 오스트레일리아가 두번째 통화 상대가..."
598,2021.10.10.,시진핑 “반드시 대만 통일”…차이잉원 “전력 다해 현상유지”,"중국과 대만의 군사적 긴장이 높아지는 가운데, 신해혁명(1911년 10월10일) 110주년을 맞아 양국 지도자들이 정면충돌했다. 시진핑 중국 국가주석이 “조국(대만) 통일을 반드시 실현하겠다”고 하자, 차이잉원 대만 총통은..."
599,2021.10.10.,"""폴리실리콘 가격 강세 지속""…증권사, OCI 목표주가 상향",중국이 호주 석탄 수입을 일부 허용했다는 보도가 나오면서 중국의 폴리실리콘 생산이 정상화되는 것 아니냐는 우려가 제기됐기 때문이다. 하지만 증권가에서는 폴리실리콘 가격 강세가 계속될 것으로 보고 있다....
600,2021.10.10.,쓱 쳐다만 봐도 몰카 '찰칵'…'스마트 글라스' 9년 전엔 왜 실패했나,중국의 샤오미도 지난달 유튜브를 통해 자사가 개발 중인 스마트 글라스 콘셉트 제품을 공개했다. 일반 안경과 유사한 이 제품은 무게가 51g에 불과하다. 눈앞에서 실시간으로 스마트폰의 알림을 표시하고 전화를 걸 수...
601,2021.10.10.,"""조국통일"" 위협 中, '비밀 합동훈련' 美…위기의 대만","대만을 둘러싸고 미국과 중국 간의 신경전이 날로 격화하고 있다. 미국이 지난 1년간 대만에서 비밀 합동훈련을 해왔다는 내용이 밝혀진 가운데 시진핑 중국 국가주석은 ""조국 통일""을 대놓고 천명하면서 위기감이..."
602,2021.10.10.,"국내 인공관절 코렌텍, 中시장 본격 진출",中 중앙입찰 모든 제품군 낙찰 국내 인공관절 제조 기업 코렌텍이 중국 시장에 본격 진출하는 발판을 마련했다고 10일 밝혔다. 코렌텍이 최근 중국 국가기관 주최로 진행된 중앙입찰에서 세계적 회사인 스트라이커...
603,2021.10.10.,'RE100'과 자원 선순환으로 미래 그려가는 LG화학 [ESG클린리더스],지난해 12월에는 국내 기업 최초로 중국 내 '전력직접구매(PPA)'로 연간 140GWh의 재생에너지도 확보했다. 중국 장쑤성(江蘇省) 우시(無錫)의 양극재공장은 올해부터 재생에너지로만 공장을 돌려 일반 산업용 전력 대비...
604,2021.10.10.,유동규 ‘배임죄 성립’ 핵심 쟁점은 2015년 당시 대장동 사업성 평가,2014년 대법원은 중국업체와 생수 수출계약을 체결하는 과정에서 중국업체에 유리한 수출계약서를 작성해줘 회사에 5억8천여만원의 손해를 끼친 혐의 등으로 기소된 전 제주개발공사 사장 사건에서 배임 혐의에 한해 무죄...
605,2021.10.10.,[유레카] 기후위기 시대의 노벨상 / 손원제,"올해도 미국 텍사스 이상한파와 유럽 폭염, 중국 폭우 등이 지구를 덮쳤다. 기후변화에 관한 정부 간 협의체(IPCC·아이피시시)는 8월9일 기후위기의 티핑포인트인 지구 평균 기온 1.5도 상승 시한을 애초 2052년께에서..."
606,2021.10.10.,증시·환율·채권 '트리플 약세' 계속되나,"공급망 문제에 따른 인플레이션, 미국 연방준비제도(Fed·연준)의 테이퍼링(자산매입 축소), 중국 부동산... 국내 증시가 유독 더 하락한 원인으로는 중국과의 경제 연관성이 높아 미중 갈등·헝다그룹 등의 불안 요인에..."
607,2021.10.10.,"한국은 빼놓고…기시다, 각국 정상과 통화","미국·오스트레일리아·인도 등 ‘기본적 가치’를 공유하는 우호국, 중국·러시아 등 긴장 속에서 관계를... 이어 ‘중국의 부상’을 견제하기 위해 최근 중요성이 커진 쿼드 회원국 오스트레일리아가 두번째 통화 상대가..."
608,2021.10.10.,시진핑 “반드시 대만 통일”…차이잉원 “전력 다해 현상유지”,"중국과 대만의 군사적 긴장이 높아지는 가운데, 신해혁명(1911년 10월10일) 110주년을 맞아 양국 지도자들이 정면충돌했다. 시진핑 중국 국가주석이 “조국(대만) 통일을 반드시 실현하겠다”고 하자, 차이잉원 대만 총통은..."
609,2021.10.10.,"""폴리실리콘 가격 강세 지속""…증권사, OCI 목표주가 상향",중국이 호주 석탄 수입을 일부 허용했다는 보도가 나오면서 중국의 폴리실리콘 생산이 정상화되는 것 아니냐는 우려가 제기됐기 때문이다. 하지만 증권가에서는 폴리실리콘 가격 강세가 계속될 것으로 보고 있다....
610,2021.10.10.,쓱 쳐다만 봐도 몰카 '찰칵'…'스마트 글라스' 9년 전엔 왜 실패했나,중국의 샤오미도 지난달 유튜브를 통해 자사가 개발 중인 스마트 글라스 콘셉트 제품을 공개했다. 일반 안경과 유사한 이 제품은 무게가 51g에 불과하다. 눈앞에서 실시간으로 스마트폰의 알림을 표시하고 전화를 걸 수...
611,2021.10.10.,"""조국통일"" 위협 中, '비밀 합동훈련' 美…위기의 대만","대만을 둘러싸고 미국과 중국 간의 신경전이 날로 격화하고 있다. 미국이 지난 1년간 대만에서 비밀 합동훈련을 해왔다는 내용이 밝혀진 가운데 시진핑 중국 국가주석은 ""조국 통일""을 대놓고 천명하면서 위기감이..."
612,2021.10.10.,"국내 인공관절 코렌텍, 中시장 본격 진출",中 중앙입찰 모든 제품군 낙찰 국내 인공관절 제조 기업 코렌텍이 중국 시장에 본격 진출하는 발판을 마련했다고 10일 밝혔다. 코렌텍이 최근 중국 국가기관 주최로 진행된 중앙입찰에서 세계적 회사인 스트라이커...
613,2021.10.10.,유동규 ‘배임죄 성립’ 핵심 쟁점은 2015년 당시 대장동 사업성 평가,2014년 대법원은 중국업체와 생수 수출계약을 체결하는 과정에서 중국업체에 유리한 수출계약서를 작성해줘 회사에 5억8천여만원의 손해를 끼친 혐의 등으로 기소된 전 제주개발공사 사장 사건에서 배임 혐의에 한해 무죄...
614,2021.10.10.,'RE100'과 자원 선순환으로 미래 그려가는 LG화학 [ESG클린리더스],지난해 12월에는 국내 기업 최초로 중국 내 '전력직접구매(PPA)'로 연간 140GWh의 재생에너지도 확보했다. 중국 장쑤성(江蘇省) 우시(無錫)의 양극재공장은 올해부터 재생에너지로만 공장을 돌려 일반 산업용 전력 대비...
615,2021.10.10.,[유레카] 기후위기 시대의 노벨상 / 손원제,"올해도 미국 텍사스 이상한파와 유럽 폭염, 중국 폭우 등이 지구를 덮쳤다. 기후변화에 관한 정부 간 협의체(IPCC·아이피시시)는 8월9일 기후위기의 티핑포인트인 지구 평균 기온 1.5도 상승 시한을 애초 2052년께에서..."
616,2021.10.10.,증시·환율·채권 '트리플 약세' 계속되나,"공급망 문제에 따른 인플레이션, 미국 연방준비제도(Fed·연준)의 테이퍼링(자산매입 축소), 중국 부동산... 국내 증시가 유독 더 하락한 원인으로는 중국과의 경제 연관성이 높아 미중 갈등·헝다그룹 등의 불안 요인에..."
617,2021.10.10.,"한국은 빼놓고…기시다, 각국 정상과 통화","미국·오스트레일리아·인도 등 ‘기본적 가치’를 공유하는 우호국, 중국·러시아 등 긴장 속에서 관계를... 이어 ‘중국의 부상’을 견제하기 위해 최근 중요성이 커진 쿼드 회원국 오스트레일리아가 두번째 통화 상대가..."
618,2021.10.10.,시진핑 “반드시 대만 통일”…차이잉원 “전력 다해 현상유지”,"중국과 대만의 군사적 긴장이 높아지는 가운데, 신해혁명(1911년 10월10일) 110주년을 맞아 양국 지도자들이 정면충돌했다. 시진핑 중국 국가주석이 “조국(대만) 통일을 반드시 실현하겠다”고 하자, 차이잉원 대만 총통은..."
619,2021.10.10.,"""폴리실리콘 가격 강세 지속""…증권사, OCI 목표주가 상향",중국이 호주 석탄 수입을 일부 허용했다는 보도가 나오면서 중국의 폴리실리콘 생산이 정상화되는 것 아니냐는 우려가 제기됐기 때문이다. 하지만 증권가에서는 폴리실리콘 가격 강세가 계속될 것으로 보고 있다....
620,2021.10.10.,쓱 쳐다만 봐도 몰카 '찰칵'…'스마트 글라스' 9년 전엔 왜 실패했나,중국의 샤오미도 지난달 유튜브를 통해 자사가 개발 중인 스마트 글라스 콘셉트 제품을 공개했다. 일반 안경과 유사한 이 제품은 무게가 51g에 불과하다. 눈앞에서 실시간으로 스마트폰의 알림을 표시하고 전화를 걸 수...
621,2021.10.10.,"""조국통일"" 위협 中, '비밀 합동훈련' 美…위기의 대만","대만을 둘러싸고 미국과 중국 간의 신경전이 날로 격화하고 있다. 미국이 지난 1년간 대만에서 비밀 합동훈련을 해왔다는 내용이 밝혀진 가운데 시진핑 중국 국가주석은 ""조국 통일""을 대놓고 천명하면서 위기감이..."
622,2021.10.10.,"국내 인공관절 코렌텍, 中시장 본격 진출",中 중앙입찰 모든 제품군 낙찰 국내 인공관절 제조 기업 코렌텍이 중국 시장에 본격 진출하는 발판을 마련했다고 10일 밝혔다. 코렌텍이 최근 중국 국가기관 주최로 진행된 중앙입찰에서 세계적 회사인 스트라이커...
623,2021.10.10.,유동규 ‘배임죄 성립’ 핵심 쟁점은 2015년 당시 대장동 사업성 평가,2014년 대법원은 중국업체와 생수 수출계약을 체결하는 과정에서 중국업체에 유리한 수출계약서를 작성해줘 회사에 5억8천여만원의 손해를 끼친 혐의 등으로 기소된 전 제주개발공사 사장 사건에서 배임 혐의에 한해 무죄...
624,2021.10.10.,'RE100'과 자원 선순환으로 미래 그려가는 LG화학 [ESG클린리더스],지난해 12월에는 국내 기업 최초로 중국 내 '전력직접구매(PPA)'로 연간 140GWh의 재생에너지도 확보했다. 중국 장쑤성(江蘇省) 우시(無錫)의 양극재공장은 올해부터 재생에너지로만 공장을 돌려 일반 산업용 전력 대비...
625,2021.10.10.,[유레카] 기후위기 시대의 노벨상 / 손원제,"올해도 미국 텍사스 이상한파와 유럽 폭염, 중국 폭우 등이 지구를 덮쳤다. 기후변화에 관한 정부 간 협의체(IPCC·아이피시시)는 8월9일 기후위기의 티핑포인트인 지구 평균 기온 1.5도 상승 시한을 애초 2052년께에서..."
626,2021.10.10.,증시·환율·채권 '트리플 약세' 계속되나,"공급망 문제에 따른 인플레이션, 미국 연방준비제도(Fed·연준)의 테이퍼링(자산매입 축소), 중국 부동산... 국내 증시가 유독 더 하락한 원인으로는 중국과의 경제 연관성이 높아 미중 갈등·헝다그룹 등의 불안 요인에..."
627,2021.10.10.,"한국은 빼놓고…기시다, 각국 정상과 통화","미국·오스트레일리아·인도 등 ‘기본적 가치’를 공유하는 우호국, 중국·러시아 등 긴장 속에서 관계를... 이어 ‘중국의 부상’을 견제하기 위해 최근 중요성이 커진 쿼드 회원국 오스트레일리아가 두번째 통화 상대가..."
628,2021.10.10.,시진핑 “반드시 대만 통일”…차이잉원 “전력 다해 현상유지”,"중국과 대만의 군사적 긴장이 높아지는 가운데, 신해혁명(1911년 10월10일) 110주년을 맞아 양국 지도자들이 정면충돌했다. 시진핑 중국 국가주석이 “조국(대만) 통일을 반드시 실현하겠다”고 하자, 차이잉원 대만 총통은..."
629,2021.10.10.,"""폴리실리콘 가격 강세 지속""…증권사, OCI 목표주가 상향",중국이 호주 석탄 수입을 일부 허용했다는 보도가 나오면서 중국의 폴리실리콘 생산이 정상화되는 것 아니냐는 우려가 제기됐기 때문이다. 하지만 증권가에서는 폴리실리콘 가격 강세가 계속될 것으로 보고 있다....
630,2021.10.10.,쓱 쳐다만 봐도 몰카 '찰칵'…'스마트 글라스' 9년 전엔 왜 실패했나,중국의 샤오미도 지난달 유튜브를 통해 자사가 개발 중인 스마트 글라스 콘셉트 제품을 공개했다. 일반 안경과 유사한 이 제품은 무게가 51g에 불과하다. 눈앞에서 실시간으로 스마트폰의 알림을 표시하고 전화를 걸 수...
631,2021.10.10.,"""조국통일"" 위협 中, '비밀 합동훈련' 美…위기의 대만","대만을 둘러싸고 미국과 중국 간의 신경전이 날로 격화하고 있다. 미국이 지난 1년간 대만에서 비밀 합동훈련을 해왔다는 내용이 밝혀진 가운데 시진핑 중국 국가주석은 ""조국 통일""을 대놓고 천명하면서 위기감이..."
632,2021.10.10.,"국내 인공관절 코렌텍, 中시장 본격 진출",中 중앙입찰 모든 제품군 낙찰 국내 인공관절 제조 기업 코렌텍이 중국 시장에 본격 진출하는 발판을 마련했다고 10일 밝혔다. 코렌텍이 최근 중국 국가기관 주최로 진행된 중앙입찰에서 세계적 회사인 스트라이커...
633,2021.10.10.,유동규 ‘배임죄 성립’ 핵심 쟁점은 2015년 당시 대장동 사업성 평가,2014년 대법원은 중국업체와 생수 수출계약을 체결하는 과정에서 중국업체에 유리한 수출계약서를 작성해줘 회사에 5억8천여만원의 손해를 끼친 혐의 등으로 기소된 전 제주개발공사 사장 사건에서 배임 혐의에 한해 무죄...
634,2021.10.10.,'RE100'과 자원 선순환으로 미래 그려가는 LG화학 [ESG클린리더스],지난해 12월에는 국내 기업 최초로 중국 내 '전력직접구매(PPA)'로 연간 140GWh의 재생에너지도 확보했다. 중국 장쑤성(江蘇省) 우시(無錫)의 양극재공장은 올해부터 재생에너지로만 공장을 돌려 일반 산업용 전력 대비...
635,2021.10.10.,[유레카] 기후위기 시대의 노벨상 / 손원제,"올해도 미국 텍사스 이상한파와 유럽 폭염, 중국 폭우 등이 지구를 덮쳤다. 기후변화에 관한 정부 간 협의체(IPCC·아이피시시)는 8월9일 기후위기의 티핑포인트인 지구 평균 기온 1.5도 상승 시한을 애초 2052년께에서..."
636,2021.10.10.,증시·환율·채권 '트리플 약세' 계속되나,"공급망 문제에 따른 인플레이션, 미국 연방준비제도(Fed·연준)의 테이퍼링(자산매입 축소), 중국 부동산... 국내 증시가 유독 더 하락한 원인으로는 중국과의 경제 연관성이 높아 미중 갈등·헝다그룹 등의 불안 요인에..."
637,2021.10.10.,"한국은 빼놓고…기시다, 각국 정상과 통화","미국·오스트레일리아·인도 등 ‘기본적 가치’를 공유하는 우호국, 중국·러시아 등 긴장 속에서 관계를... 이어 ‘중국의 부상’을 견제하기 위해 최근 중요성이 커진 쿼드 회원국 오스트레일리아가 두번째 통화 상대가..."
638,2021.10.10.,시진핑 “반드시 대만 통일”…차이잉원 “전력 다해 현상유지”,"중국과 대만의 군사적 긴장이 높아지는 가운데, 신해혁명(1911년 10월10일) 110주년을 맞아 양국 지도자들이 정면충돌했다. 시진핑 중국 국가주석이 “조국(대만) 통일을 반드시 실현하겠다”고 하자, 차이잉원 대만 총통은..."
639,2021.10.10.,"""폴리실리콘 가격 강세 지속""…증권사, OCI 목표주가 상향",중국이 호주 석탄 수입을 일부 허용했다는 보도가 나오면서 중국의 폴리실리콘 생산이 정상화되는 것 아니냐는 우려가 제기됐기 때문이다. 하지만 증권가에서는 폴리실리콘 가격 강세가 계속될 것으로 보고 있다....
640,2021.10.10.,쓱 쳐다만 봐도 몰카 '찰칵'…'스마트 글라스' 9년 전엔 왜 실패했나,중국의 샤오미도 지난달 유튜브를 통해 자사가 개발 중인 스마트 글라스 콘셉트 제품을 공개했다. 일반 안경과 유사한 이 제품은 무게가 51g에 불과하다. 눈앞에서 실시간으로 스마트폰의 알림을 표시하고 전화를 걸 수...
641,2021.10.10.,"""조국통일"" 위협 中, '비밀 합동훈련' 美…위기의 대만","대만을 둘러싸고 미국과 중국 간의 신경전이 날로 격화하고 있다. 미국이 지난 1년간 대만에서 비밀 합동훈련을 해왔다는 내용이 밝혀진 가운데 시진핑 중국 국가주석은 ""조국 통일""을 대놓고 천명하면서 위기감이..."
642,2021.10.10.,"국내 인공관절 코렌텍, 中시장 본격 진출",中 중앙입찰 모든 제품군 낙찰 국내 인공관절 제조 기업 코렌텍이 중국 시장에 본격 진출하는 발판을 마련했다고 10일 밝혔다. 코렌텍이 최근 중국 국가기관 주최로 진행된 중앙입찰에서 세계적 회사인 스트라이커...
643,2021.10.10.,유동규 ‘배임죄 성립’ 핵심 쟁점은 2015년 당시 대장동 사업성 평가,2014년 대법원은 중국업체와 생수 수출계약을 체결하는 과정에서 중국업체에 유리한 수출계약서를 작성해줘 회사에 5억8천여만원의 손해를 끼친 혐의 등으로 기소된 전 제주개발공사 사장 사건에서 배임 혐의에 한해 무죄...
644,2021.10.10.,'RE100'과 자원 선순환으로 미래 그려가는 LG화학 [ESG클린리더스],지난해 12월에는 국내 기업 최초로 중국 내 '전력직접구매(PPA)'로 연간 140GWh의 재생에너지도 확보했다. 중국 장쑤성(江蘇省) 우시(無錫)의 양극재공장은 올해부터 재생에너지로만 공장을 돌려 일반 산업용 전력 대비...
645,2021.10.10.,[유레카] 기후위기 시대의 노벨상 / 손원제,"올해도 미국 텍사스 이상한파와 유럽 폭염, 중국 폭우 등이 지구를 덮쳤다. 기후변화에 관한 정부 간 협의체(IPCC·아이피시시)는 8월9일 기후위기의 티핑포인트인 지구 평균 기온 1.5도 상승 시한을 애초 2052년께에서..."
646,2021.10.10.,증시·환율·채권 '트리플 약세' 계속되나,"공급망 문제에 따른 인플레이션, 미국 연방준비제도(Fed·연준)의 테이퍼링(자산매입 축소), 중국 부동산... 국내 증시가 유독 더 하락한 원인으로는 중국과의 경제 연관성이 높아 미중 갈등·헝다그룹 등의 불안 요인에..."
647,2021.10.10.,"한국은 빼놓고…기시다, 각국 정상과 통화","미국·오스트레일리아·인도 등 ‘기본적 가치’를 공유하는 우호국, 중국·러시아 등 긴장 속에서 관계를... 이어 ‘중국의 부상’을 견제하기 위해 최근 중요성이 커진 쿼드 회원국 오스트레일리아가 두번째 통화 상대가..."
