,date,title,summary
0,2021.11.10.,"[사진] 관세청, 불법 물품 단속 강화",관세청은 중국과 미국의 초대형 할인 행사를 대비해 엑스레이 검색기를 추가 설치하고 해외직구 통관 업무 인력을 늘리는 등 특송·우편물품 특별통관대책을 연말까지 시행한다. 9일 인천본부세관 에서 관계자가 물품의...
1,2021.11.10.,"[박치문의 검은 돌 흰 돌] 박정환의 말, 신진서의 말",신진서와 박정환은 중국과 맞설 한국의 쌍두마차인데 굳이 이벤트까지 만들어 한쪽을 무너뜨려야 되겠느냐... 과거 중국의 일인자 창하오는 이창호에게 연전연패를 당해 계속 추락했다. 하지만 바닥에 이르자 창하오는...
2,2021.11.10.,"[Biz & Now] 삼성디스플레이, 공장 두 곳 운영·관리 최고 등급 획득",삼성디스플레이는 자사 충남 아산2캠퍼스와 중국 동관사업장에 대해 RBA(책임감 있는 산업 연합)로부터 공장 운영·관리와 관련한 최고 등급인 ‘플래티넘’ 인증(사진)을 받았다고 9일 밝혔다. RBA는 글로벌 공급망에서...
3,2021.11.10.,"왼발 권경원과 오른발 박지수, 김민재의 파트너는?","피지컬로 상대를 압도하고, 중국리그를 경험한 뒤 공간을 커버하는 능력이 좋아졌다”고 말했다. 김 위원은... 보인다”면서 “중국 톈진에서 파비오 칸나바로 감독과 함께하면서 권경원이 많이 발전했다. 성남에서..."
4,2021.11.10.,"미 Fed “중국 부동산 문제, 세계 경제 위험요인”",중국의 부동산 문제가 세계 경제에 부정적인 영향을 줄 수 있다고 미국 중앙은행인 연방준비제도(Fed)가 경고했다. 헝다그룹처럼 과도한 빚을 안고 있는 중국 기업과 금융회사에서 문제가 발생하면 다른 나라에도...
5,2021.11.10.,미국이 접기 시작했다,"삼성 폴더블폰이 세계 시장에서 경쟁력을 입증하자 중국 스마트폰 업계도 추격에 나서고 있다. 해외... 중국 샤오미(미 믹스 폴드), 모토로라(모토 레이저) 등도 폴더블폰 제품을 내놓고 있다. 애플도 조만간 폴더블폰..."
6,2021.11.10.,대통령 “요소수 지나친 불안감 갖지 말라”,"문 대통령이 요소수 수급과 관련해 언급한 것은 지난달 15일 중국이 요소수 수출 제한을 결정한 지 한 달... 주문했지만, 중국 의존도가 높은 요소수 사태를 사전에 막지 못했다. 문 대통령은 “지금까지 첨단기술 중심의..."
7,2021.11.10.,"[글로벌포커스] CPTPP 가입, 두번 실기는 말아야",9월 중국의 포괄적·점진적 환태평양경제동반자협정(CPTPP) 가입 신청은 중국 견제를 위해 미국 주도로 체결된 메가 지역자유무역협정(RFTA)이 정작 맹주인 미국은 빠지고 오히려 중국이 참여하는 미국 견제 RFTA로...
8,2021.11.10.,"화력발전도 불안, 발전 5사 중 3곳 요소수 재고 한달치뿐",정부가 중국발(發) 요소수 품귀 사태를 해결하기 위해 국내외에서 전방위로 움직이면서 요소수 8037t을... 중국의 요소 수출 재개나 수입처 다변화 같은 근본적인 대책은 마련되지 않아서다. 대규모 물량이 확보되지...
9,2021.11.10.,[손현덕 칼럼] 야단법석 요소(尿素),지난달 11일 우리나라 관세청에 해당하는 중국 해관총서가 4줄짜리 짧은 공고문(제81호)을 지방 세관에... 중국과는 달리 암모니아의 원료로 나프타를 쓰는 한국으로선 채산성이 맞지 않았다. 요소를 만드는 나라는 많으나...
10,2021.11.10.,"[Biz & Now] 삼성디스플레이, 공장 두 곳 운영·관리 최고 등급 획득",삼성디스플레이는 자사 충남 아산2캠퍼스와 중국 동관사업장에 대해 RBA(책임감 있는 산업 연합)로부터 공장 운영·관리와 관련한 최고 등급인 ‘플래티넘’ 인증(사진)을 받았다고 9일 밝혔다. RBA는 글로벌 공급망에서...
11,2021.11.10.,"[박치문의 검은 돌 흰 돌] 박정환의 말, 신진서의 말",신진서와 박정환은 중국과 맞설 한국의 쌍두마차인데 굳이 이벤트까지 만들어 한쪽을 무너뜨려야 되겠느냐... 과거 중국의 일인자 창하오는 이창호에게 연전연패를 당해 계속 추락했다. 하지만 바닥에 이르자 창하오는...
12,2021.11.10.,"왼발 권경원과 오른발 박지수, 김민재의 파트너는?","피지컬로 상대를 압도하고, 중국리그를 경험한 뒤 공간을 커버하는 능력이 좋아졌다”고 말했다. 김 위원은... 보인다”면서 “중국 톈진에서 파비오 칸나바로 감독과 함께하면서 권경원이 많이 발전했다. 성남에서..."
13,2021.11.10.,"[사진] 관세청, 불법 물품 단속 강화",관세청은 중국과 미국의 초대형 할인 행사를 대비해 엑스레이 검색기를 추가 설치하고 해외직구 통관 업무 인력을 늘리는 등 특송·우편물품 특별통관대책을 연말까지 시행한다. 9일 인천본부세관 에서 관계자가 물품의...
14,2021.11.10.,"미 Fed “중국 부동산 문제, 세계 경제 위험요인”",중국의 부동산 문제가 세계 경제에 부정적인 영향을 줄 수 있다고 미국 중앙은행인 연방준비제도(Fed)가 경고했다. 헝다그룹처럼 과도한 빚을 안고 있는 중국 기업과 금융회사에서 문제가 발생하면 다른 나라에도...
15,2021.11.10.,미국이 접기 시작했다,"삼성 폴더블폰이 세계 시장에서 경쟁력을 입증하자 중국 스마트폰 업계도 추격에 나서고 있다. 해외... 중국 샤오미(미 믹스 폴드), 모토로라(모토 레이저) 등도 폴더블폰 제품을 내놓고 있다. 애플도 조만간 폴더블폰..."
16,2021.11.10.,대통령 “요소수 지나친 불안감 갖지 말라”,"문 대통령이 요소수 수급과 관련해 언급한 것은 지난달 15일 중국이 요소수 수출 제한을 결정한 지 한 달... 주문했지만, 중국 의존도가 높은 요소수 사태를 사전에 막지 못했다. 문 대통령은 “지금까지 첨단기술 중심의..."
17,2021.11.10.,"[글로벌포커스] CPTPP 가입, 두번 실기는 말아야",9월 중국의 포괄적·점진적 환태평양경제동반자협정(CPTPP) 가입 신청은 중국 견제를 위해 미국 주도로 체결된 메가 지역자유무역협정(RFTA)이 정작 맹주인 미국은 빠지고 오히려 중국이 참여하는 미국 견제 RFTA로...
18,2021.11.10.,[손현덕 칼럼] 야단법석 요소(尿素),지난달 11일 우리나라 관세청에 해당하는 중국 해관총서가 4줄짜리 짧은 공고문(제81호)을 지방 세관에... 중국과는 달리 암모니아의 원료로 나프타를 쓰는 한국으로선 채산성이 맞지 않았다. 요소를 만드는 나라는 많으나...
19,2021.11.10.,"화력발전도 불안, 발전 5사 중 3곳 요소수 재고 한달치뿐",정부가 중국발(發) 요소수 품귀 사태를 해결하기 위해 국내외에서 전방위로 움직이면서 요소수 8037t을... 중국의 요소 수출 재개나 수입처 다변화 같은 근본적인 대책은 마련되지 않아서다. 대규모 물량이 확보되지...
20,2021.11.10.,"[Biz & Now] 삼성디스플레이, 공장 두 곳 운영·관리 최고 등급 획득",삼성디스플레이는 자사 충남 아산2캠퍼스와 중국 동관사업장에 대해 RBA(책임감 있는 산업 연합)로부터 공장 운영·관리와 관련한 최고 등급인 ‘플래티넘’ 인증(사진)을 받았다고 9일 밝혔다. RBA는 글로벌 공급망에서...
21,2021.11.10.,"왼발 권경원과 오른발 박지수, 김민재의 파트너는?","피지컬로 상대를 압도하고, 중국리그를 경험한 뒤 공간을 커버하는 능력이 좋아졌다”고 말했다. 김 위원은... 보인다”면서 “중국 톈진에서 파비오 칸나바로 감독과 함께하면서 권경원이 많이 발전했다. 성남에서..."
22,2021.11.10.,"[박치문의 검은 돌 흰 돌] 박정환의 말, 신진서의 말",신진서와 박정환은 중국과 맞설 한국의 쌍두마차인데 굳이 이벤트까지 만들어 한쪽을 무너뜨려야 되겠느냐... 과거 중국의 일인자 창하오는 이창호에게 연전연패를 당해 계속 추락했다. 하지만 바닥에 이르자 창하오는...
23,2021.11.10.,"[사진] 관세청, 불법 물품 단속 강화",관세청은 중국과 미국의 초대형 할인 행사를 대비해 엑스레이 검색기를 추가 설치하고 해외직구 통관 업무 인력을 늘리는 등 특송·우편물품 특별통관대책을 연말까지 시행한다. 9일 인천본부세관 에서 관계자가 물품의...
24,2021.11.10.,"미 Fed “중국 부동산 문제, 세계 경제 위험요인”",중국의 부동산 문제가 세계 경제에 부정적인 영향을 줄 수 있다고 미국 중앙은행인 연방준비제도(Fed)가 경고했다. 헝다그룹처럼 과도한 빚을 안고 있는 중국 기업과 금융회사에서 문제가 발생하면 다른 나라에도...
25,2021.11.10.,미국이 접기 시작했다,"삼성 폴더블폰이 세계 시장에서 경쟁력을 입증하자 중국 스마트폰 업계도 추격에 나서고 있다. 해외... 중국 샤오미(미 믹스 폴드), 모토로라(모토 레이저) 등도 폴더블폰 제품을 내놓고 있다. 애플도 조만간 폴더블폰..."
26,2021.11.10.,대통령 “요소수 지나친 불안감 갖지 말라”,"문 대통령이 요소수 수급과 관련해 언급한 것은 지난달 15일 중국이 요소수 수출 제한을 결정한 지 한 달... 주문했지만, 중국 의존도가 높은 요소수 사태를 사전에 막지 못했다. 문 대통령은 “지금까지 첨단기술 중심의..."
27,2021.11.10.,"[글로벌포커스] CPTPP 가입, 두번 실기는 말아야",9월 중국의 포괄적·점진적 환태평양경제동반자협정(CPTPP) 가입 신청은 중국 견제를 위해 미국 주도로 체결된 메가 지역자유무역협정(RFTA)이 정작 맹주인 미국은 빠지고 오히려 중국이 참여하는 미국 견제 RFTA로...
28,2021.11.10.,"화력발전도 불안, 발전 5사 중 3곳 요소수 재고 한달치뿐",정부가 중국발(發) 요소수 품귀 사태를 해결하기 위해 국내외에서 전방위로 움직이면서 요소수 8037t을... 중국의 요소 수출 재개나 수입처 다변화 같은 근본적인 대책은 마련되지 않아서다. 대규모 물량이 확보되지...
29,2021.11.10.,[손현덕 칼럼] 야단법석 요소(尿素),지난달 11일 우리나라 관세청에 해당하는 중국 해관총서가 4줄짜리 짧은 공고문(제81호)을 지방 세관에... 중국과는 달리 암모니아의 원료로 나프타를 쓰는 한국으로선 채산성이 맞지 않았다. 요소를 만드는 나라는 많으나...
30,2021.11.10.,"[박치문의 검은 돌 흰 돌] 박정환의 말, 신진서의 말",신진서와 박정환은 중국과 맞설 한국의 쌍두마차인데 굳이 이벤트까지 만들어 한쪽을 무너뜨려야 되겠느냐... 과거 중국의 일인자 창하오는 이창호에게 연전연패를 당해 계속 추락했다. 하지만 바닥에 이르자 창하오는...
31,2021.11.10.,"왼발 권경원과 오른발 박지수, 김민재의 파트너는?","피지컬로 상대를 압도하고, 중국리그를 경험한 뒤 공간을 커버하는 능력이 좋아졌다”고 말했다. 김 위원은... 보인다”면서 “중국 톈진에서 파비오 칸나바로 감독과 함께하면서 권경원이 많이 발전했다. 성남에서..."
32,2021.11.10.,"[Biz & Now] 삼성디스플레이, 공장 두 곳 운영·관리 최고 등급 획득",삼성디스플레이는 자사 충남 아산2캠퍼스와 중국 동관사업장에 대해 RBA(책임감 있는 산업 연합)로부터 공장 운영·관리와 관련한 최고 등급인 ‘플래티넘’ 인증(사진)을 받았다고 9일 밝혔다. RBA는 글로벌 공급망에서...
33,2021.11.10.,"[사진] 관세청, 불법 물품 단속 강화",관세청은 중국과 미국의 초대형 할인 행사를 대비해 엑스레이 검색기를 추가 설치하고 해외직구 통관 업무 인력을 늘리는 등 특송·우편물품 특별통관대책을 연말까지 시행한다. 9일 인천본부세관 에서 관계자가 물품의...
34,2021.11.10.,미국이 접기 시작했다,"삼성 폴더블폰이 세계 시장에서 경쟁력을 입증하자 중국 스마트폰 업계도 추격에 나서고 있다. 해외... 중국 샤오미(미 믹스 폴드), 모토로라(모토 레이저) 등도 폴더블폰 제품을 내놓고 있다. 애플도 조만간 폴더블폰..."
35,2021.11.10.,"미 Fed “중국 부동산 문제, 세계 경제 위험요인”",중국의 부동산 문제가 세계 경제에 부정적인 영향을 줄 수 있다고 미국 중앙은행인 연방준비제도(Fed)가 경고했다. 헝다그룹처럼 과도한 빚을 안고 있는 중국 기업과 금융회사에서 문제가 발생하면 다른 나라에도...
36,2021.11.10.,"[글로벌포커스] CPTPP 가입, 두번 실기는 말아야",9월 중국의 포괄적·점진적 환태평양경제동반자협정(CPTPP) 가입 신청은 중국 견제를 위해 미국 주도로 체결된 메가 지역자유무역협정(RFTA)이 정작 맹주인 미국은 빠지고 오히려 중국이 참여하는 미국 견제 RFTA로...
37,2021.11.10.,대통령 “요소수 지나친 불안감 갖지 말라”,"문 대통령이 요소수 수급과 관련해 언급한 것은 지난달 15일 중국이 요소수 수출 제한을 결정한 지 한 달... 주문했지만, 중국 의존도가 높은 요소수 사태를 사전에 막지 못했다. 문 대통령은 “지금까지 첨단기술 중심의..."
38,2021.11.10.,[손현덕 칼럼] 야단법석 요소(尿素),지난달 11일 우리나라 관세청에 해당하는 중국 해관총서가 4줄짜리 짧은 공고문(제81호)을 지방 세관에... 중국과는 달리 암모니아의 원료로 나프타를 쓰는 한국으로선 채산성이 맞지 않았다. 요소를 만드는 나라는 많으나...
39,2021.11.10.,"화력발전도 불안, 발전 5사 중 3곳 요소수 재고 한달치뿐",정부가 중국발(發) 요소수 품귀 사태를 해결하기 위해 국내외에서 전방위로 움직이면서 요소수 8037t을... 중국의 요소 수출 재개나 수입처 다변화 같은 근본적인 대책은 마련되지 않아서다. 대규모 물량이 확보되지...
40,2021.11.10.,"[Biz & Now] 삼성디스플레이, 공장 두 곳 운영·관리 최고 등급 획득",삼성디스플레이는 자사 충남 아산2캠퍼스와 중국 동관사업장에 대해 RBA(책임감 있는 산업 연합)로부터 공장 운영·관리와 관련한 최고 등급인 ‘플래티넘’ 인증(사진)을 받았다고 9일 밝혔다. RBA는 글로벌 공급망에서...
41,2021.11.10.,"[사진] 관세청, 불법 물품 단속 강화",관세청은 중국과 미국의 초대형 할인 행사를 대비해 엑스레이 검색기를 추가 설치하고 해외직구 통관 업무 인력을 늘리는 등 특송·우편물품 특별통관대책을 연말까지 시행한다. 9일 인천본부세관 에서 관계자가 물품의...
42,2021.11.10.,"왼발 권경원과 오른발 박지수, 김민재의 파트너는?","피지컬로 상대를 압도하고, 중국리그를 경험한 뒤 공간을 커버하는 능력이 좋아졌다”고 말했다. 김 위원은... 보인다”면서 “중국 톈진에서 파비오 칸나바로 감독과 함께하면서 권경원이 많이 발전했다. 성남에서..."
43,2021.11.10.,"[박치문의 검은 돌 흰 돌] 박정환의 말, 신진서의 말",신진서와 박정환은 중국과 맞설 한국의 쌍두마차인데 굳이 이벤트까지 만들어 한쪽을 무너뜨려야 되겠느냐... 과거 중국의 일인자 창하오는 이창호에게 연전연패를 당해 계속 추락했다. 하지만 바닥에 이르자 창하오는...
44,2021.11.10.,"미 Fed “중국 부동산 문제, 세계 경제 위험요인”",중국의 부동산 문제가 세계 경제에 부정적인 영향을 줄 수 있다고 미국 중앙은행인 연방준비제도(Fed)가 경고했다. 헝다그룹처럼 과도한 빚을 안고 있는 중국 기업과 금융회사에서 문제가 발생하면 다른 나라에도...
45,2021.11.10.,미국이 접기 시작했다,"삼성 폴더블폰이 세계 시장에서 경쟁력을 입증하자 중국 스마트폰 업계도 추격에 나서고 있다. 해외... 중국 샤오미(미 믹스 폴드), 모토로라(모토 레이저) 등도 폴더블폰 제품을 내놓고 있다. 애플도 조만간 폴더블폰..."
46,2021.11.10.,대통령 “요소수 지나친 불안감 갖지 말라”,"문 대통령이 요소수 수급과 관련해 언급한 것은 지난달 15일 중국이 요소수 수출 제한을 결정한 지 한 달... 주문했지만, 중국 의존도가 높은 요소수 사태를 사전에 막지 못했다. 문 대통령은 “지금까지 첨단기술 중심의..."
47,2021.11.10.,"[글로벌포커스] CPTPP 가입, 두번 실기는 말아야",9월 중국의 포괄적·점진적 환태평양경제동반자협정(CPTPP) 가입 신청은 중국 견제를 위해 미국 주도로 체결된 메가 지역자유무역협정(RFTA)이 정작 맹주인 미국은 빠지고 오히려 중국이 참여하는 미국 견제 RFTA로...
48,2021.11.10.,"화력발전도 불안, 발전 5사 중 3곳 요소수 재고 한달치뿐",정부가 중국발(發) 요소수 품귀 사태를 해결하기 위해 국내외에서 전방위로 움직이면서 요소수 8037t을... 중국의 요소 수출 재개나 수입처 다변화 같은 근본적인 대책은 마련되지 않아서다. 대규모 물량이 확보되지...
49,2021.11.10.,[손현덕 칼럼] 야단법석 요소(尿素),지난달 11일 우리나라 관세청에 해당하는 중국 해관총서가 4줄짜리 짧은 공고문(제81호)을 지방 세관에... 중국과는 달리 암모니아의 원료로 나프타를 쓰는 한국으로선 채산성이 맞지 않았다. 요소를 만드는 나라는 많으나...
50,2021.11.10.,"[박치문의 검은 돌 흰 돌] 박정환의 말, 신진서의 말",신진서와 박정환은 중국과 맞설 한국의 쌍두마차인데 굳이 이벤트까지 만들어 한쪽을 무너뜨려야 되겠느냐... 과거 중국의 일인자 창하오는 이창호에게 연전연패를 당해 계속 추락했다. 하지만 바닥에 이르자 창하오는...
51,2021.11.10.,"왼발 권경원과 오른발 박지수, 김민재의 파트너는?","피지컬로 상대를 압도하고, 중국리그를 경험한 뒤 공간을 커버하는 능력이 좋아졌다”고 말했다. 김 위원은... 보인다”면서 “중국 톈진에서 파비오 칸나바로 감독과 함께하면서 권경원이 많이 발전했다. 성남에서..."
52,2021.11.10.,"[사진] 관세청, 불법 물품 단속 강화",관세청은 중국과 미국의 초대형 할인 행사를 대비해 엑스레이 검색기를 추가 설치하고 해외직구 통관 업무 인력을 늘리는 등 특송·우편물품 특별통관대책을 연말까지 시행한다. 9일 인천본부세관 에서 관계자가 물품의...
53,2021.11.10.,"[Biz & Now] 삼성디스플레이, 공장 두 곳 운영·관리 최고 등급 획득",삼성디스플레이는 자사 충남 아산2캠퍼스와 중국 동관사업장에 대해 RBA(책임감 있는 산업 연합)로부터 공장 운영·관리와 관련한 최고 등급인 ‘플래티넘’ 인증(사진)을 받았다고 9일 밝혔다. RBA는 글로벌 공급망에서...
54,2021.11.10.,"미 Fed “중국 부동산 문제, 세계 경제 위험요인”",중국의 부동산 문제가 세계 경제에 부정적인 영향을 줄 수 있다고 미국 중앙은행인 연방준비제도(Fed)가 경고했다. 헝다그룹처럼 과도한 빚을 안고 있는 중국 기업과 금융회사에서 문제가 발생하면 다른 나라에도...
55,2021.11.10.,미국이 접기 시작했다,"삼성 폴더블폰이 세계 시장에서 경쟁력을 입증하자 중국 스마트폰 업계도 추격에 나서고 있다. 해외... 중국 샤오미(미 믹스 폴드), 모토로라(모토 레이저) 등도 폴더블폰 제품을 내놓고 있다. 애플도 조만간 폴더블폰..."
56,2021.11.10.,대통령 “요소수 지나친 불안감 갖지 말라”,"문 대통령이 요소수 수급과 관련해 언급한 것은 지난달 15일 중국이 요소수 수출 제한을 결정한 지 한 달... 주문했지만, 중국 의존도가 높은 요소수 사태를 사전에 막지 못했다. 문 대통령은 “지금까지 첨단기술 중심의..."
57,2021.11.10.,"[글로벌포커스] CPTPP 가입, 두번 실기는 말아야",9월 중국의 포괄적·점진적 환태평양경제동반자협정(CPTPP) 가입 신청은 중국 견제를 위해 미국 주도로 체결된 메가 지역자유무역협정(RFTA)이 정작 맹주인 미국은 빠지고 오히려 중국이 참여하는 미국 견제 RFTA로...
58,2021.11.10.,"화력발전도 불안, 발전 5사 중 3곳 요소수 재고 한달치뿐",정부가 중국발(發) 요소수 품귀 사태를 해결하기 위해 국내외에서 전방위로 움직이면서 요소수 8037t을... 중국의 요소 수출 재개나 수입처 다변화 같은 근본적인 대책은 마련되지 않아서다. 대규모 물량이 확보되지...
59,2021.11.10.,[손현덕 칼럼] 야단법석 요소(尿素),지난달 11일 우리나라 관세청에 해당하는 중국 해관총서가 4줄짜리 짧은 공고문(제81호)을 지방 세관에... 중국과는 달리 암모니아의 원료로 나프타를 쓰는 한국으로선 채산성이 맞지 않았다. 요소를 만드는 나라는 많으나...
60,2021.11.10.,"[박치문의 검은 돌 흰 돌] 박정환의 말, 신진서의 말",신진서와 박정환은 중국과 맞설 한국의 쌍두마차인데 굳이 이벤트까지 만들어 한쪽을 무너뜨려야 되겠느냐... 과거 중국의 일인자 창하오는 이창호에게 연전연패를 당해 계속 추락했다. 하지만 바닥에 이르자 창하오는...
61,2021.11.10.,"왼발 권경원과 오른발 박지수, 김민재의 파트너는?","피지컬로 상대를 압도하고, 중국리그를 경험한 뒤 공간을 커버하는 능력이 좋아졌다”고 말했다. 김 위원은... 보인다”면서 “중국 톈진에서 파비오 칸나바로 감독과 함께하면서 권경원이 많이 발전했다. 성남에서..."
62,2021.11.10.,"[사진] 관세청, 불법 물품 단속 강화",관세청은 중국과 미국의 초대형 할인 행사를 대비해 엑스레이 검색기를 추가 설치하고 해외직구 통관 업무 인력을 늘리는 등 특송·우편물품 특별통관대책을 연말까지 시행한다. 9일 인천본부세관 에서 관계자가 물품의...
63,2021.11.10.,"[Biz & Now] 삼성디스플레이, 공장 두 곳 운영·관리 최고 등급 획득",삼성디스플레이는 자사 충남 아산2캠퍼스와 중국 동관사업장에 대해 RBA(책임감 있는 산업 연합)로부터 공장 운영·관리와 관련한 최고 등급인 ‘플래티넘’ 인증(사진)을 받았다고 9일 밝혔다. RBA는 글로벌 공급망에서...
64,2021.11.10.,"미 Fed “중국 부동산 문제, 세계 경제 위험요인”",중국의 부동산 문제가 세계 경제에 부정적인 영향을 줄 수 있다고 미국 중앙은행인 연방준비제도(Fed)가 경고했다. 헝다그룹처럼 과도한 빚을 안고 있는 중국 기업과 금융회사에서 문제가 발생하면 다른 나라에도...
65,2021.11.10.,미국이 접기 시작했다,"삼성 폴더블폰이 세계 시장에서 경쟁력을 입증하자 중국 스마트폰 업계도 추격에 나서고 있다. 해외... 중국 샤오미(미 믹스 폴드), 모토로라(모토 레이저) 등도 폴더블폰 제품을 내놓고 있다. 애플도 조만간 폴더블폰..."
66,2021.11.10.,대통령 “요소수 지나친 불안감 갖지 말라”,"문 대통령이 요소수 수급과 관련해 언급한 것은 지난달 15일 중국이 요소수 수출 제한을 결정한 지 한 달... 주문했지만, 중국 의존도가 높은 요소수 사태를 사전에 막지 못했다. 문 대통령은 “지금까지 첨단기술 중심의..."
67,2021.11.10.,"[글로벌포커스] CPTPP 가입, 두번 실기는 말아야",9월 중국의 포괄적·점진적 환태평양경제동반자협정(CPTPP) 가입 신청은 중국 견제를 위해 미국 주도로 체결된 메가 지역자유무역협정(RFTA)이 정작 맹주인 미국은 빠지고 오히려 중국이 참여하는 미국 견제 RFTA로...
68,2021.11.10.,"화력발전도 불안, 발전 5사 중 3곳 요소수 재고 한달치뿐",정부가 중국발(發) 요소수 품귀 사태를 해결하기 위해 국내외에서 전방위로 움직이면서 요소수 8037t을... 중국의 요소 수출 재개나 수입처 다변화 같은 근본적인 대책은 마련되지 않아서다. 대규모 물량이 확보되지...
69,2021.11.10.,[손현덕 칼럼] 야단법석 요소(尿素),지난달 11일 우리나라 관세청에 해당하는 중국 해관총서가 4줄짜리 짧은 공고문(제81호)을 지방 세관에... 중국과는 달리 암모니아의 원료로 나프타를 쓰는 한국으로선 채산성이 맞지 않았다. 요소를 만드는 나라는 많으나...
70,2021.11.10.,"왼발 권경원과 오른발 박지수, 김민재의 파트너는?","피지컬로 상대를 압도하고, 중국리그를 경험한 뒤 공간을 커버하는 능력이 좋아졌다”고 말했다. 김 위원은... 보인다”면서 “중국 톈진에서 파비오 칸나바로 감독과 함께하면서 권경원이 많이 발전했다. 성남에서..."
71,2021.11.10.,"[Biz & Now] 삼성디스플레이, 공장 두 곳 운영·관리 최고 등급 획득",삼성디스플레이는 자사 충남 아산2캠퍼스와 중국 동관사업장에 대해 RBA(책임감 있는 산업 연합)로부터 공장 운영·관리와 관련한 최고 등급인 ‘플래티넘’ 인증(사진)을 받았다고 9일 밝혔다. RBA는 글로벌 공급망에서...
72,2021.11.10.,"[사진] 관세청, 불법 물품 단속 강화",관세청은 중국과 미국의 초대형 할인 행사를 대비해 엑스레이 검색기를 추가 설치하고 해외직구 통관 업무 인력을 늘리는 등 특송·우편물품 특별통관대책을 연말까지 시행한다. 9일 인천본부세관 에서 관계자가 물품의...
73,2021.11.10.,"[박치문의 검은 돌 흰 돌] 박정환의 말, 신진서의 말",신진서와 박정환은 중국과 맞설 한국의 쌍두마차인데 굳이 이벤트까지 만들어 한쪽을 무너뜨려야 되겠느냐... 과거 중국의 일인자 창하오는 이창호에게 연전연패를 당해 계속 추락했다. 하지만 바닥에 이르자 창하오는...
74,2021.11.10.,"미 Fed “중국 부동산 문제, 세계 경제 위험요인”",중국의 부동산 문제가 세계 경제에 부정적인 영향을 줄 수 있다고 미국 중앙은행인 연방준비제도(Fed)가 경고했다. 헝다그룹처럼 과도한 빚을 안고 있는 중국 기업과 금융회사에서 문제가 발생하면 다른 나라에도...
75,2021.11.10.,미국이 접기 시작했다,"삼성 폴더블폰이 세계 시장에서 경쟁력을 입증하자 중국 스마트폰 업계도 추격에 나서고 있다. 해외... 중국 샤오미(미 믹스 폴드), 모토로라(모토 레이저) 등도 폴더블폰 제품을 내놓고 있다. 애플도 조만간 폴더블폰..."
76,2021.11.10.,대통령 “요소수 지나친 불안감 갖지 말라”,"문 대통령이 요소수 수급과 관련해 언급한 것은 지난달 15일 중국이 요소수 수출 제한을 결정한 지 한 달... 주문했지만, 중국 의존도가 높은 요소수 사태를 사전에 막지 못했다. 문 대통령은 “지금까지 첨단기술 중심의..."
77,2021.11.10.,"[글로벌포커스] CPTPP 가입, 두번 실기는 말아야",9월 중국의 포괄적·점진적 환태평양경제동반자협정(CPTPP) 가입 신청은 중국 견제를 위해 미국 주도로 체결된 메가 지역자유무역협정(RFTA)이 정작 맹주인 미국은 빠지고 오히려 중국이 참여하는 미국 견제 RFTA로...
78,2021.11.10.,"화력발전도 불안, 발전 5사 중 3곳 요소수 재고 한달치뿐",정부가 중국발(發) 요소수 품귀 사태를 해결하기 위해 국내외에서 전방위로 움직이면서 요소수 8037t을... 중국의 요소 수출 재개나 수입처 다변화 같은 근본적인 대책은 마련되지 않아서다. 대규모 물량이 확보되지...
79,2021.11.10.,[손현덕 칼럼] 야단법석 요소(尿素),지난달 11일 우리나라 관세청에 해당하는 중국 해관총서가 4줄짜리 짧은 공고문(제81호)을 지방 세관에... 중국과는 달리 암모니아의 원료로 나프타를 쓰는 한국으로선 채산성이 맞지 않았다. 요소를 만드는 나라는 많으나...
80,2021.11.10.,"[Biz & Now] 삼성디스플레이, 공장 두 곳 운영·관리 최고 등급 획득",삼성디스플레이는 자사 충남 아산2캠퍼스와 중국 동관사업장에 대해 RBA(책임감 있는 산업 연합)로부터 공장 운영·관리와 관련한 최고 등급인 ‘플래티넘’ 인증(사진)을 받았다고 9일 밝혔다. RBA는 글로벌 공급망에서...
81,2021.11.10.,"[박치문의 검은 돌 흰 돌] 박정환의 말, 신진서의 말",신진서와 박정환은 중국과 맞설 한국의 쌍두마차인데 굳이 이벤트까지 만들어 한쪽을 무너뜨려야 되겠느냐... 과거 중국의 일인자 창하오는 이창호에게 연전연패를 당해 계속 추락했다. 하지만 바닥에 이르자 창하오는...
82,2021.11.10.,"[사진] 관세청, 불법 물품 단속 강화",관세청은 중국과 미국의 초대형 할인 행사를 대비해 엑스레이 검색기를 추가 설치하고 해외직구 통관 업무 인력을 늘리는 등 특송·우편물품 특별통관대책을 연말까지 시행한다. 9일 인천본부세관 에서 관계자가 물품의...
83,2021.11.10.,"왼발 권경원과 오른발 박지수, 김민재의 파트너는?","피지컬로 상대를 압도하고, 중국리그를 경험한 뒤 공간을 커버하는 능력이 좋아졌다”고 말했다. 김 위원은... 보인다”면서 “중국 톈진에서 파비오 칸나바로 감독과 함께하면서 권경원이 많이 발전했다. 성남에서..."
84,2021.11.10.,미국이 접기 시작했다,"삼성 폴더블폰이 세계 시장에서 경쟁력을 입증하자 중국 스마트폰 업계도 추격에 나서고 있다. 해외... 중국 샤오미(미 믹스 폴드), 모토로라(모토 레이저) 등도 폴더블폰 제품을 내놓고 있다. 애플도 조만간 폴더블폰..."
